Processor(_Total) DPC Rate,Processor(_Total) pct_ Idle Time,Processor(_Total) pct_ C3 Time,Processor(_Total) pct_ Interrupt Time,Processor(_Total) pct_ C2 Time,Processor(_Total) pct_ User Time,Processor(_Total) pct_ C1 Time,Processor(_Total) pct_ Processor Time,Processor(_Total) C1 Transitions sec,Processor(_Total) pct_ DPC Time,Processor(_Total) C2 Transitions sec,Processor(_Total) pct_ Privileged Time,Processor(_Total) C3 Transitions sec,Processor(_Total) DPCs Queued sec,Processor(_Total) Interrupts sec,Process(_Total) Pool Paged Bytes,Process(_Total) IO Read Operations sec,Process(_Total) Working Set - Private,Process(_Total) Working Set Peak,Process(_Total) IO Write Operations sec,Process(_Total) Page File Bytes,Process(_Total) pct_ User Time,Process(_Total) Virtual Bytes Peak,Process(_Total) Page File Bytes Peak,Process(_Total) IO Other Bytes sec,Process(_Total) Private Bytes,Process(_Total) IO Write Bytes sec,Process(_Total) Elapsed Time,Process(_Total) Virtual Bytes,Process(_Total) pct_ Processor Time,Process(_Total) Creating Process ID,Process(_Total) Pool Nonpaged Bytes,Process(_Total) Working Set,Process(_Total) Page Faults sec,Process(_Total) ID Process,Process(_Total) IO Other Operations sec,Process(_Total) IO Data Operations sec,Process(_Total) Thread Count,Process(_Total) pct_ Privileged Time,Process(_Total) IO Data Bytes sec,Process(_Total) IO Read Bytes sec,Process(_Total) Priority Base,Process(_Total) Handle Count,Network_I(6TO4 Adapter) Packets Received Unknown,Network_I(isatap{B4D100D3-}) Packets Received Unknown,Network_I(Intel R _Pro_1000MT) Packets Received Unknown,Network_I(6TO4 Adapter) Bytes Received sec,Network_I(isatap{B4D100D3-}) Bytes Received sec,Network_I(Intel R _Pro_1000MT) Bytes Received sec,Network_I(6TO4 Adapter) Bytes Sent sec,Network_I(isatap{B4D100D3-}) Bytes Sent sec,Network_I(Intel R _Pro_1000MT) Bytes Sent sec,Network_I(6TO4 Adapter) Packets Outbound Errors,Network_I(isatap{B4D100D3-}) Packets Outbound Errors,Network_I(Intel R _Pro_1000MT) Packets Outbound Errors,Network_I(6TO4 Adapter) Packets Received Discarded,Network_I(isatap{B4D100D3-}) Packets Received Discarded,Network_I(Intel R _Pro_1000MT) Packets Received Discarded,Network_I(6TO4 Adapter) Bytes Total sec,Network_I(isatap{B4D100D3-}) Bytes Total sec,Network_I(Intel R _Pro_1000MT) Bytes Total sec,Network_I(6TO4 Adapter) Packets Outbound Discarded,Network_I(isatap{B4D100D3-}) Packets Outbound Discarded,Network_I(Intel R _Pro_1000MT) Packets Outbound Discarded,Network_I(6TO4 Adapter) Packets Sent Unicast sec,Network_I(isatap{B4D100D3-}) Packets Sent Unicast sec,Network_I(Intel R _Pro_1000MT) Packets Sent Unicast sec,Network_I(6TO4 Adapter) Output Queue Length,Network_I(isatap{B4D100D3-}) Output Queue Length,Network_I(Intel R _Pro_1000MT) Output Queue Length,Network_I(6TO4 Adapter) Packets Received sec,Network_I(isatap{B4D100D3-}) Packets Received sec,Network_I(Intel R _Pro_1000MT) Packets Received sec,Network_I(6TO4 Adapter) Current Bandwidth,Network_I(isatap{B4D100D3-}) Current Bandwidth,Network_I(Intel R _Pro_1000MT) Current Bandwidth,Network_I(6TO4 Adapter) Packets sec,Network_I(isatap{B4D100D3-}) Packets sec,Network_I(Intel R _Pro_1000MT) Packets sec,Network_I(6TO4 Adapter) Packets Sent sec,Network_I(isatap{B4D100D3-}) Packets Sent sec,Network_I(Intel R _Pro_1000MT) Packets Sent sec,Network_I(6TO4 Adapter) Packets Received Unicast sec,Network_I(isatap{B4D100D3-}) Packets Received Unicast sec,Network_I(Intel R _Pro_1000MT) Packets Received Unicast sec,Network_I(6TO4 Adapter) Packets Sent Non-Unicast sec,Network_I(isatap{B4D100D3-}) Packets Sent Non-Unicast sec,Network_I(Intel R _Pro_1000MT) Packets Sent Non-Unicast sec,Network_I(6TO4 Adapter) Packets Received Non-Unicast sec,Network_I(isatap{B4D100D3-}) Packets Received Non-Unicast sec,Network_I(Intel R _Pro_1000MT) Packets Received Non-Unicast sec,Network_I(6TO4 Adapter) Offloaded Connections,Network_I(isatap{B4D100D3-}) Offloaded Connections,Network_I(Intel R _Pro_1000MT) Offloaded Connections,Network_I(6TO4 Adapter) Packets Received Errors,Network_I(isatap{B4D100D3-}) Packets Received Errors,Network_I(Intel R _Pro_1000MT) Packets Received Errors,Memory Pool Paged Bytes,Memory Free & Zero Page List Bytes,Memory Cache Bytes Peak,Memory System Code Resident Bytes,Memory Available Bytes,Memory Commit Limit,Memory Transition Pages RePurposed sec,Memory Pages Output sec,Memory Page Reads sec,Memory Demand Zero Faults sec,Memory Available KBytes,Memory Pages sec,Memory Cache Bytes,Memory Pool Nonpaged Bytes,Memory Page Faults sec,Memory Transition Faults sec,Memory System Cache Resident Bytes,Memory Standby Cache Reserve Bytes,Memory Page Writes sec,Memory System Code Total Bytes,Memory Standby Cache Core Bytes,Memory System Driver Resident Bytes,Memory Standby Cache Normal Priority Bytes,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory pct_ Committed Bytes In Use,Memory Free System Page Table Entries,Memory Available MBytes,Memory Modified Page List Bytes,Memory Cache Faults sec,Memory Committed Bytes,Memory System Driver Total Bytes,Memory Pages Input sec,Memory Pool Paged Resident Bytes,Memory Write Copies sec,label,type
54,75.41666667,0,0,0,2.1875,73.33333333,24.58333333,3608.016813,0,0,22.39583333,0,3574.816659,4923.089608,7822416,129.6006039,799670272,2008666112,129.0672681,2285047808,2.1875,7942070272,2596859904,10141.91393,2285047808,32721.61915,0,6925520896,100,0,1237288,850751488,3734.68407,0,472.9355372,258.6678721,544,97.8125,59957.14607,27235.52692,0,13362,0,0,0,0,0,90.80042313,0,0,82.40038399,0,0,0,0,0,0,0,0,173.2008071,0,0,0,0,0,1.200005592,0,0,0,0,0,1.200005592,100000,100000,1000000000,0,0,2.400011184,0,0,1.200005592,0,0,1.200005592,0,0,0,0,0,0,0,0,0,0,0,0,91017216,0,61227008,978944,10285056,2885148672,7035.366118,4119.085862,2490.478272,542.9358634,10044,12267.92384,598016,52809728,3888.284786,851.5373015,598016,0,1176.138814,7155712,32768,1273856,10252288,58602,51303,91.4147437,33562140,9,1290240,4.866689345,2637451264,5849088,8148.837974,10342400,0,0,normal
2,75.52083333,0,0.208333333,0,1.979166667,73.33333333,24.47916667,3055.797432,1.041666667,0,22.5,0,2861.672732,4018.621279,8285768,2.133238461,809197568,2024206336,1.533265144,2051780608,1.979166667,8287563776,2671534080,3863.161526,2051780608,788.9649121,0,6950645760,98.75,0,1240744,860827648,4810.186075,0,197.7245399,3.666503605,582,96.77083333,1028.420929,239.4560173,0,14212,0,0,0,0,0,103.0620832,0,0,76.32993869,0,0,0,0,0,0,0,0,179.3920218,0,0,0,0,0,1.066619231,0,0,0,0,0,1.39993774,100000,100000,1000000000,0,0,2.466556971,0,0,1.066619231,0,0,1.39993774,0,0,0,0,0,0,0,0,0,0,0,0,92872704,0,61227008,737280,651264,2918703104,4543.797922,5236.967095,2503.28867,781.8985597,636,10449.00196,405504,52768768,5009.577207,1725.589924,405504,32768,405.448635,7155712,245760,1216512,372736,58943,52336,82.35677979,33562140,0,45056,0.466645913,2403749888,5849088,5212.03487,11403264,0,0,normal
55,79.47916667,0,0,0,1.041666667,80,20.52083333,2273.556023,0.833333333,0,19.47916667,0,1946.55276,3163.364904,7522680,122.0012176,789811200,1985806336,121.6678809,2177617920,1.041666667,7712518144,2538340352,4984.183075,2177617920,26319.86267,0,6632697856,99.16666667,0,1153880,845443072,3743.43736,0,249.402489,243.6690985,533,98.125,51971.31867,25651.456,0,13163,0,0,0,0,0,0,0,0,57.33390553,0,0,0,0,0,0,0,0,57.33390553,0,0,0,0,0,0.266669328,0,0,0,0,0,0,100000,100000,1000000000,0,0,0.266669328,0,0,0.266669328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90972160,0,61227008,729088,12136448,2851594240,5170.184932,2306.223016,1816.818132,108.1344125,11852,8460.951107,618496,52912128,3872.638649,1944.752742,618496,0,167.8016747,7155712,446464,1372160,11689984,58516,50747,88.48934917,33560929,11,40960,6.666733201,2523357184,5849088,6154.728091,11104256,0,0,normal
2,70,0,0.208333333,0,4.583333333,66.66666667,30,3500.528739,0,0,25.41666667,0,3536.593298,4924.378853,7603168,10.39939219,770129920,2057830400,16.26571599,2125680640,4.583333333,7949467648,2753490944,6502.953257,2125680640,26718.30507,0,6680403968,99.79166667,0,1028752,829091840,4568.599647,0,287.1165523,26.66510818,543,95.20833333,46486.34969,19768.04462,0,13552,0,0,0,0,0,127.5925426,0,0,113.0600587,0,0,0,0,0,0,0,0,240.6526013,0,0,0,0,0,1.599906491,0,0,0,0,0,1.599906491,100000,100000,1000000000,0,0,3.199812982,0,0,1.599906491,0,0,1.599906491,0,0,0,0,0,0,0,0,0,0,0,0,92835840,90112,61227008,851968,9322496,2918703104,5286.024383,4725.257158,2846.100322,753.889271,9104,10780.90323,643072,79306752,4687.05939,1083.470008,643072,32768,948.4112352,7155712,323584,1232896,8876032,58862,57472,85.49091042,33562140,8,61440,5.666335488,2495225856,5849088,6055.646068,12820480,0,0,normal
1,66.9447341,0,0,0,30.86548488,66.73618352,33.0552659,46.85874775,0.625651721,0,2.189781022,0,66.75035292,75.36114845,5862200,0,418639872,1323008000,0,843165696,30.86548488,5395607552,1204318208,1384.669321,843165696,0,0,4314484736,99.37434828,0,862520,641052672,398.1658552,0,48.86125834,0,518,68.5088634,0,0,0,13028,0,0,0,0,0,3610.526589,0,0,163.1378625,0,0,0,0,0,0,0,0,3773.664452,0,0,0,0,0,2.870265176,0,0,0,0,0,7.142287762,100000,100000,1000000000,0,0,10.01255294,0,0,2.870265176,0,0,7.142287762,0,0,0,0,0,0,0,0,0,0,0,0,105361408,23425024,58441728,2076672,478367744,2641346560,0,0,0,402.9051302,467156,0,15757312,59867136,403.3056323,0.934504941,15757312,326451200,0,7155712,46260224,3059712,82231296,80216,67169,47.04912694,33559968,456,11321344,0,1242730496,5857280,0,40660992,0,1,injection
0,83.54166667,0,0.104166667,0,11.25,80,16.45833333,362.1287633,0,0,5.208333333,0,361.462105,456.2609087,8696104,9.999873802,968245248,2910162944,9.266549723,2251116544,11.25,9042022400,2613108736,3079.427804,2251116544,2714.899071,0,7787667456,99.89583333,0,1156808,1029222400,402.1282585,0,102.2653761,19.26642352,601,88.64583333,5436.86472,2721.965649,0,14620,0,0,0,0,0,6931.712522,0,0,139.9982332,0,0,0,0,0,0,0,0,7071.710755,0,0,0,0,0,2.666633014,0,0,0,0,0,72.93241293,100000,100000,1000000000,0,0,75.59904594,0,0,2.666633014,0,0,72.93241293,0,0,0,0,0,0,0,0,0,0,0,0,96546816,0,25575424,712704,103391232,3476848640,507.5935942,0,287.3963731,97.26543918,100968,951.2546618,294912,59138048,481.5939223,97.8654316,294912,0,0,7155712,62402560,1335296,40988672,61516,59609,79.06637293,33557323,98,94208,0.733324079,2749018112,5849088,951.2546618,14934016,0,1,ddos
0,99.6875,0,0,0,0,93.33333333,0.3125,66.72556025,0.104166667,0,0.3125,0,2.999650561,68.65866839,4964344,2.333061547,159563776,926511104,1.866449238,523509760,0,4130967552,749076480,2572.500321,523509760,3071.442197,0,3345391616,99.89583333,0,705128,440819712,16.19811303,0,90.52278803,4.199510785,432,99.89583333,4860.633769,1789.191571,0,10948,0,0,0,0,0,44.92809951,0,0,0,0,0,0,0,0,0,0,0,44.92809951,0,0,0,0,0,0,0,0,0,0,0,0.666589013,100000,100000,1000000000,0,0,0.666589013,0,0,0,0,0,0.666589013,0,0,0,0,0,0,0,0,0,0,0,0,98246656,2359296,61227008,2437120,585887744,2146951168,0,0,0,14.19834599,572156,0,15036416,51351552,19.597717,6.132618924,15036416,485994496,0,7155712,64552960,3162112,32980992,77058,57693,39.12579795,33557571,558,30031872,0.466612309,840011776,5849088,0,31903744,0,0,normal
53,80.20833333,0,0,0,1.458333333,80,19.79166667,2642.016979,0.104166667,0,18.33333333,0,2295.414752,3394.021812,8023816,2.133347044,805163008,2015457280,1.600010283,2009280512,1.458333333,8142434304,2679504896,6961.044736,2009280512,1354.875374,0,6810853376,99.89583333,0,1068048,857612288,3503.889185,0,349.9355823,3.733357326,565,98.4375,1594.34358,239.4682056,0,13870,0,0,0,0,0,340.8021902,0,0,79.60051157,0,0,0,0,0,0,0,0,420.4027018,0,0,0,0,0,1.133340617,0,0,0,0,0,2.533349614,100000,100000,1000000000,0,0,3.666690231,0,0,1.133340617,0,0,2.533349614,0,0,0,0,0,0,0,0,0,0,0,0,92762112,0,61227008,716800,4169728,2918703104,3562.822897,2188.947401,2163.94724,126.8008149,4072,6482.041658,446464,52432896,3647.156772,1360.542077,446464,0,130.9341748,7155712,593920,1277952,3575808,59100,51812,80.74796442,33562140,3,376832,0.666670951,2356793344,5849088,4293.094257,10883072,0,0,normal
0,98.54166667,0,0,0,0.208333333,93.33333333,1.458333333,103.8014525,1.041666667,0,1.25,0,44.20061851,109.3348633,6401608,1.733357589,163811328,1154473984,1.000013994,620937216,0.208333333,5360701440,885444608,15764.22059,620937216,131.8685119,0,4524273664,98.95833333,0,926472,510947328,8.400117546,0,771.4774622,2.733371582,512,98.75,278.7372338,146.8687218,0,14050,0,0,0,0,0,3105.910129,0,0,2452.567653,0,0,0,0,0,0,0,0,5558.477782,0,0,0,0,0,45.33396771,0,0,0,0,0,48.40067729,100000,100000,1000000000,0,0,93.73464499,0,0,45.33396771,0,0,48.40067729,0,0,0,0,0,0,0,0,0,0,0,0,102727680,32776192,135745536,1507328,549081088,2146951168,0,0,0,8.333449946,536212,0,12283904,60940288,11.26682433,3.533382777,12283904,467914752,0,7155712,29257728,3559424,19132416,87721,72232,44.96907421,33557896,523,27844608,0,965464064,5832704,0,31227904,0,0,normal
0,76.88284519,0,0.209205021,0,12.44769874,73.64016736,23.11715481,209.9336293,0.10460251,0,10.25104603,0,352.0106005,747.1600833,8701296,10.31581969,960598016,2911977472,9.913904638,2276593664,12.44769874,9050644480,2622861312,3100.640661,2276593664,7163.733903,0,7802322944,99.26778243,0,1159448,1019867136,325.2832495,0,99.27301806,20.22972433,609,86.82008368,9951.550681,2787.816778,0,14646,0,0,0,0,0,2478.342188,0,0,125.7994116,0,0,0,0,0,0,0,0,2604.141599,0,0,0,0,0,2.344504475,0,0,0,0,0,5.224895687,100000,100000,1000000000,0,0,7.569400163,0,0,2.344504475,0,0,5.224895687,0,0,0,0,0,0,0,0,0,0,0,0,96546816,110592,25575424,782336,117530624,3493625856,493.8196283,1020.864234,175.9718073,139.8664384,114776,1617.976031,184320,59080704,360.4508166,44.47859919,184320,0,258.6993224,7155712,64143360,1175552,53276672,61535,59600,79.42295788,33557323,112,73728,0.401915053,2774740992,5849088,597.1117969,9392128,0,1,ddos
